Time,aMag,gMag,ang,bpm,but
57270,1.0057832768544126,4.831573242744023,264.237183047683,74.91,0
58511,0.9849365461794988,2.3860846590177807,264.6220726502159,4.3,0
59593,1.0152339631828715,11.518459098334292,264.06266878139115,4.3,0
60714,1.0080674580602234,1.3556179402766844,264.19500547289266,4.3,2
61916,1.0001499887516871,0.9348261870529729,264.34119777557015,4.3,2
63178,1.0001499887516871,0.8300602387778854,264.34119777557015,13.08,2
64379,1.0022474744293446,1.4125508840392265,264.3024698908201,51.64,0
65521,1.003493896344168,1.1374972527439353,264.2794556048658,51.64,2
66722,1.003493896344168,0.4382921400162225,264.2794556048658,51.64,2
67924,1.003493896344168,0.8322259308625273,264.2794556048658,18.84,2
69125,1.003493896344168,0.7915806970865321,264.2794556048658,18.84,2
70327,1.0048382954485762,0.6462971452822611,264.25463190086833,18.84,0
71468,1.0045396955820112,0.6216912416947822,264.2601454389521,17.94,0
72610,1.0045396955820112,0.7747257579298626,264.2601454389521,17.94,2
73811,0.9960421677820673,0.6256196927846821,264.4170419294101,18.61,2
74993,1.0045396955820112,0.6245798587850876,264.2601454389521,18.61,2
76195,1.0058826969383656,0.6833008122342604,264.23534726972684,43.42,2
77436,1.0072735477515529,6.662116780723676,264.209665201182,30.88,0
78638,1.0287856919689349,16.744736486430597,263.81239478094886,30.88,0
79779,0.9988993943335835,2.993426130707087,264.3642882898655,30.88,0
80921,0.9982985525382675,1.393197760549449,264.37538190331145,30.88,0
82063,1.00359354322355,1.8431223507949763,264.27761568369533,30.88,0
83264,0.9976973488989535,2.522736609319332,264.38648212757164,30.88,0
84406,1.0064790112068904,0.7961155694998058,264.22433636954236,30.88,0
85527,1.0062305898749053,0.7134423592694787,264.22892346006256,30.88,0
86669,1.0064790112068904,0.7479304780526063,264.22433636954236,30.88,0
87810,0.9989494481704267,1.2635268101627286,264.3633641201078,30.88,0
88952,1.0040916292848974,10.557741235699991,264.2684187877412,30.88,0
90093,1.002297361066066,1.625084613181726,264.3015487756967,4.73,0
91235,1.0062305898749053,1.0005498488331304,264.22892346006256,4.73,0
92376,1.005186549850325,0.7677239087067694,264.24820148783544,4.73,0
93518,1.0062305898749053,0.6664082832618454,264.22892346006256,4.73,2
94719,1.0062305898749053,0.7406753674856482,264.22892346006256,4.73,2
95921,1.0062305898749053,0.6946941773183363,264.22892346006256,4.73,0
97063,1.006081507632458,0.6868769904429759,264.2316762522497,4.73,0
98204,1.006081507632458,0.6664082832618454,264.2316762522497,4.73,2
99406,1.0062305898749053,0.6664082832618454,264.22892346006256,4.73,0
100547,1.0050373127401788,0.6946941773183363,264.250957109195,4.73,0
101749,1.0050373127401788,0.7142128534267639,264.250957109195,4.73,0
102890,1.006081507632458,0.6664082832618454,264.2316762522497,4.82,0
104012,1.0050373127401788,0.7479304780526063,264.250957109195,80.97,0
105153,1.0050373127401788,0.6664082832618454,264.250957109195,26.99,0
106295,1.0050373127401788,0.6946941773183363,264.250957109195,85.59,0
107437,1.0050373127401788,0.7142128534267639,264.250957109195,85.59,0
108578,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
109720,1.0050373127401788,0.6946941773183363,264.250957109195,80.97,0
110861,1.0050373127401788,0.6946941773183363,264.250957109195,85.59,0
112003,1.0050373127401788,0.6946941773183363,264.250957109195,80.97,0
113144,1.0050373127401788,0.6946941773183363,264.250957109195,83.22,0
114286,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
115407,1.0050373127401788,0.6664082832618454,264.250957109195,76.82,0
116549,1.0050373127401788,0.7142128534267639,264.250957109195,80.97,0
117690,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
118832,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
119973,1.0050373127401788,0.7142128534267639,264.250957109195,76.82,0
121115,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
122256,1.0050373127401788,0.6664082832618454,264.250957109195,80.97,0
123398,1.006081507632458,0.6868769904429759,264.2316762522497,78.84,0
124539,1.007620960480676,1.049237818609299,264.2032501639912,136.05,0
125681,1.0073728207570423,1.3054884143492045,264.2078321100739,136.05,2
126882,1.0062305898749053,0.8184130986244049,264.22892346006256,136.05,0
128024,0.9962931295557548,1.201124473150056,264.41240842705224,18.38,2
129226,1.006081507632458,0.7075309180523491,264.2316762522497,18.38,0
130367,1.006081507632458,1.376190393804578,264.2316762522497,20.8,0
131509,1.006081507632458,1.1301769772916097,264.2316762522497,93.6,2
132690,1.006081507632458,0.9218459741193211,264.2316762522497,93.6,0
133832,1.006081507632458,0.8235289915965315,264.2316762522497,24.97,0
134973,1.006081507632458,0.7142128534267639,264.2316762522497,24.97,0
136115,1.006081507632458,0.6664082832618454,264.2316762522497,24.97,0
137256,1.006081507632458,0.6664082832618454,264.2316762522497,18.16,0
138398,1.006081507632458,0.6664082832618454,264.2316762522497,76.82,0
139539,1.006081507632458,0.6664082832618454,264.2316762522497,80.97,0
140681,1.0050373127401788,0.6664082832618454,264.250957109195,78.84,0
141882,1.006081507632458,0.7217340230306453,264.2316762522497,83.22,0
143024,1.006081507632458,0.6797793759742936,264.2316762522497,76.82,0
144165,1.006081507632458,0.6664082832618454,264.2316762522497,80.97,0
145287,1.006081507632458,0.7217340230306453,264.2316762522497,76.82,0
146448,1.006081507632458,0.6664082832618454,264.2316762522497,80.97,0
147630,1.006081507632458,0.7217340230306453,264.2316762522497,78.84,0
148832,1.006081507632458,0.6582552696332935,264.2316762522497,85.59,0
150033,1.006081507632458,0.7406753674856482,264.2316762522497,80.97,0
151235,1.006081507632458,0.6119640512317697,264.2316762522497,78.84,0
152376,0.9961425600786264,0.7406753674856482,264.4151883898493,76.82,0
153518,0.9961425600786264,0.7167286794875729,264.4151883898493,76.82,0
154660,1.006081507632458,0.7167286794875729,264.2316762522497,83.22,0
155801,1.006081507632458,0.6582552696332935,264.2316762522497,78.84,0
156943,1.006081507632458,0.6664082832618454,264.2316762522497,83.22,0
158084,1.006081507632458,0.6582552696332935,264.2316762522497,78.84,0
159226,1.006081507632458,0.7217340230306453,264.2316762522497,85.59,0
160367,1.0050373127401788,0.6582552696332935,264.250957109195,80.97,0
161549,1.006081507632458,0.7217340230306453,264.2316762522497,83.22,0
162690,1.006081507632458,0.6664082832618454,264.2316762522497,76.82,0
163832,1.006081507632458,0.7598684096605149,264.2316762522497,85.59,0
164973,1.006081507632458,0.6664082832618454,264.2316762522497,69.69,0
166115,1.006081507632458,0.6664082832618454,264.2316762522497,85.59,0
167257,1.006081507632458,0.6797793759742936,264.2316762522497,80.97,0
168398,1.006081507632458,0.6946941773183363,264.2316762522497,76.82,0
169540,1.004987562112089,0.6245798587850876,264.25187573961483,80.97,0
170681,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
171823,1.006081507632458,0.6664082832618454,264.2316762522497,80.97,0
172964,1.006081507632458,0.7142128534267639,264.2316762522497,83.22,0
174146,1.0050373127401788,0.7217340230306453,264.250957109195,74.91,0
17618,1.005186549850325,0.7340980860893183,264.24820148783544,0.0,0
18860,1.007620960480676,5.206937679673149,264.2032501639912,0.0,0
20001,1.0010993956645864,1.3970325694127534,264.3236680734367,0.0,0
21143,1.0010993956645864,1.0141991914806479,264.3236680734367,0.0,0
22285,1.0010993956645864,0.7217340230306453,264.3236680734367,0.0,0
23426,1.0010993956645864,0.9087904048789248,264.3236680734367,2.59,0
24568,1.0010993956645864,0.6472248450113762,264.3236680734367,2.59,0
25709,1.0010993956645864,0.7731106001084191,264.3236680734367,23.41,0
26831,1.002546757014355,1.0599528291391085,264.296943880331,76.73,1
28034,0.9954396013822234,2.485115691471928,264.42816705141007,76.73,1
29236,1.0079682534683323,2.778578773401971,264.19683731422754,76.73,1
30437,0.9992997548283498,1.5659182609574487,264.35689621433244,76.73,2
31638,1.0010993956645864,3.32454508166155,264.3236680734367,76.73,2
32840,0.999749968742185,5.830377346278713,264.34858363059215,9.39,0
33981,0.9961425600786264,5.58489033016764,264.4151883898493,9.39,0
35183,1.0084641788382966,4.294985448170925,264.1876798902992,9.39,0
36324,1.0073728207570423,1.235677951571525,264.2078321100739,9.39,0
37466,1.006081507632458,0.6555150646628954,264.2316762522497,9.39,0
38608,1.006081507632458,0.7340980860893183,264.2316762522497,9.39,0
39729,1.006081507632458,0.7406753674856482,264.2316762522497,9.39,0
40871,1.006081507632458,0.6797793759742936,264.2316762522497,9.39,0
42072,1.006081507632458,0.6664082832618454,264.2316762522497,9.39,0
43214,1.006081507632458,0.6797793759742936,264.2316762522497,9.39,0
44355,1.006081507632458,0.8021221852062191,264.2316762522497,9.39,0
45497,1.006081507632458,2.536710468303389,264.2316762522497,9.39,0
46638,1.0040916292848974,0.8006872048434396,264.2684187877412,9.39,0
47780,1.0050373127401788,1.0812492774564062,264.250957109195,4.16,0
48921,1.0050373127401788,0.8132650244538984,264.250957109195,37.45,0
50063,1.0050373127401788,0.6582552696332935,264.250957109195,73.08,0
51205,1.0050373127401788,0.73824115301167,264.250957109195,73.08,0
52346,1.0050373127401788,0.7598684096605149,264.250957109195,73.08,2
53548,1.0050373127401788,0.7479304780526063,264.250957109195,16.74,2
54749,1.0050373127401788,0.6582552696332935,264.250957109195,44.71,2
55931,1.0050373127401788,0.7340980860893183,264.250957109195,74.91,2
57133,1.0050373127401788,0.6664082832618454,264.250957109195,85.59,2
58334,1.0050373127401788,0.6582552696332935,264.250957109195,93.6,2
59536,1.0050373127401788,0.776273147803014,264.250957109195,93.6,0
60677,1.0050373127401788,0.6664082832618454,264.250957109195,85.59,0
61819,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
62961,1.0050373127401788,0.6472248450113762,264.250957109195,83.22,0
64102,0.9941327879111522,0.7653757247260983,264.45229437410086,74.91,2
65304,1.0050373127401788,0.7142128534267639,264.250957109195,41.61,2
66505,1.0050373127401788,0.7217340230306453,264.250957109195,78.84,2
67767,1.0050373127401788,0.73824115301167,264.250957109195,85.59,0
68889,1.0050373127401788,0.8300602387778854,264.250957109195,49.1,0
70030,1.0050373127401788,0.7116881339463235,264.250957109195,63.76,0
71172,1.0050373127401788,0.7217340230306453,264.250957109195,63.76,0
72313,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
73455,1.0050373127401788,0.6472248450113762,264.250957109195,80.97,0
74596,1.0050373127401788,0.7142128534267639,264.250957109195,80.97,0
75738,1.0050373127401788,0.7142128534267639,264.250957109195,80.97,0
76880,1.0050373127401788,0.7479304780526063,264.250957109195,85.59,0
78021,1.0050373127401788,0.7479304780526063,264.250957109195,76.82,0
79163,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
80304,1.0050373127401788,0.6582552696332935,264.250957109195,80.97,0
81506,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
82647,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
83789,1.0050373127401788,0.6980687645210892,264.250957109195,85.59,0
84911,1.0050373127401788,0.6664082832618454,264.250957109195,85.59,0
86052,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
87194,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
88335,1.0050373127401788,0.6664082832618454,264.250957109195,80.97,0
89477,1.0050373127401788,0.6664082832618454,264.250957109195,80.97,0
90619,1.0050373127401788,0.6582552696332935,264.250957109195,88.11,0
91760,1.0050373127401788,0.6664082832618454,264.250957109195,88.11,0
92902,1.0050373127401788,0.6664082832618454,264.250957109195,90.77,0
94043,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
95185,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
96327,1.0050373127401788,0.6664082832618454,264.250957109195,80.97,0
97528,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
